rho_sim,scaled_rho_sim,theta_sim,genome_size_sim,depth_sim,seed_sim,mean,std,min,5%,25%,50%,75%,95%,max
0.05,25.0,0.01,75000.0,1.0,456.0,4.65,0.6708203932499369,4.0,4.0,4.0,5.0,5.0,6.0,6.0
0.075,37.5,0.01,75000.0,1.0,456.0,4.0,0.45883146774112354,3.0,3.0,4.0,4.0,4.0,5.0,5.0
0.1,50.0,0.01,75000.0,1.0,456.0,5.95,0.998683343734455,5.0,5.0,5.0,6.0,6.25,8.0,8.0
0.01,5.0,0.01,100000.0,1.0,456.0,0.4,0.5026246899500346,0.0,0.0,0.0,0.0,1.0,1.0,1.0
0.025,12.5,0.01,100000.0,1.0,456.0,1.55,0.5104177855340405,1.0,1.0,1.0,2.0,2.0,2.0,2.0
0.05,25.0,0.01,100000.0,1.0,456.0,4.0,0.5619514869490163,3.0,3.0,4.0,4.0,4.0,5.0,5.0
0.075,37.5,0.01,100000.0,1.0,456.0,6.15,0.6708203932499373,5.0,5.0,6.0,6.0,7.000000000000001,7.000000000000001,7.000000000000001
0.1,50.0,0.01,100000.0,1.0,456.0,8.2,0.8335087534664904,7.000000000000001,7.000000000000001,8.0,8.0,8.25,10.0,10.0
0.01,5.0,0.01,10000.0,2.5,456.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,10000.0,2.5,456.0,3.9,0.44721359549995804,3.0,3.0,4.0,4.0,4.0,4.050000000000001,5.0
0.05,25.0,0.01,10000.0,2.5,456.0,4.05,0.3940344628262061,3.0,3.95,4.0,4.0,4.0,5.0,5.0
0.075,37.5,0.01,10000.0,2.5,456.0,4.35,0.5871429486123998,3.0,3.95,4.0,4.0,5.0,5.0,5.0
0.1,50.0,0.01,10000.0,2.5,456.0,6.0,0.7254762501100119,5.0,5.0,5.75,6.0,6.25,7.000000000000001,7.000000000000001
0.01,5.0,0.01,25000.0,2.5,456.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,25000.0,2.5,456.0,2.9,0.3077935056255462,2.0,2.0,3.0,3.0,3.0,3.0,3.0
0.05,25.0,0.01,25000.0,2.5,456.0,3.75,0.4442616583193193,3.0,3.0,3.75,4.0,4.0,4.0,4.0
0.075,37.5,0.01,25000.0,2.5,456.0,4.55,0.5104177855340405,4.0,4.0,4.0,5.0,5.0,5.0,5.0
0.1,50.0,0.01,25000.0,2.5,456.0,7.55,0.5104177855340399,7.000000000000001,7.000000000000001,7.000000000000001,8.0,8.0,8.0,8.0
0.01,5.0,0.01,50000.0,2.5,456.0,1.1,0.3077935056255462,1.0,1.0,1.0,1.0,1.0,2.0,2.0
0.025,12.5,0.01,50000.0,2.5,456.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
0.05,25.0,0.01,50000.0,2.5,456.0,3.85,0.36634754853252327,3.0,3.0,4.0,4.0,4.0,4.0,4.0
0.075,37.5,0.01,50000.0,2.5,456.0,5.0,0.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0
0.1,50.0,0.01,50000.0,2.5,456.0,6.95,0.3940344628262062,6.0,6.0,7.000000000000001,7.000000000000001,7.000000000000001,7.050000000000002,8.0
0.01,5.0,0.01,75000.0,2.5,456.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,75000.0,2.5,456.0,2.5,0.512989176042577,2.0,2.0,2.0,2.5,3.0,3.0,3.0
0.05,25.0,0.01,75000.0,2.5,456.0,4.4,0.5026246899500345,4.0,4.0,4.0,4.0,5.0,5.0,5.0
0.075,37.5,0.01,75000.0,2.5,456.0,5.1,0.3077935056255463,5.0,5.0,5.0,5.0,5.0,6.0,6.0
0.1,50.0,0.01,75000.0,2.5,456.0,7.7,0.4701623459816268,7.000000000000001,7.000000000000001,7.000000000000001,8.0,8.0,8.0,8.0
0.01,5.0,0.01,100000.0,2.5,456.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,100000.0,2.5,456.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
0.05,25.0,0.01,100000.0,2.5,456.0,4.75,0.4442616583193193,4.0,4.0,4.75,5.0,5.0,5.0,5.0
0.075,37.5,0.01,100000.0,2.5,456.0,5.4,0.5026246899500345,5.0,5.0,5.0,5.0,6.0,6.0,6.0
0.1,50.0,0.01,100000.0,2.5,456.0,6.25,0.4442616583193197,6.0,6.0,6.0,6.0,6.25,7.000000000000001,7.000000000000001
0.01,5.0,0.01,10000.0,5.0,456.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
0.025,12.5,0.01,10000.0,5.0,456.0,3.0,0.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0
